,mean_abs_shap
debt_to_income,0.34792523395184627
revolving_utilization,0.29770048555203027
savings_balance,0.29239681854895144
num_credit_lines,0.14080092880150985
annual_income,0.12103632717409842
loan_to_income,0.06055832571164714
monthly_expenses,0.055036762341433225
credit_history_months,0.050145195201727034
employment_type,0.03870095531450072
loan_amount,0.031582025824986405
employment_years,0.031222952495127555
age,0.029268067406684462
inquiries_6m,0.02467818766685662
loan_purpose,0.019716551005851398
home_ownership,0.015349837642131726
num_delinq_2y,0.014827854852998106
